PAIS_ISO3,OMS_REGION,CASOS_ACUM_TOTAL,CASOS_ACUM_TOTAL_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS,CASOS_NUEVOS_INFORMADOS_ULT_7_DIAS_POR_100000_HAB,CASOS_NUEVOS_INFORMADOS_ULT_24H,MUERTES_ACUM_INFORMADAS_ULT_7_DIAS,MUERTES_ACUM_TOTAL_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS,MUERTES_NUEVAS_INFORMADAS_ULT_7_DIAS_POR_100000_HAB,MUERTES_NUEVAS_INFORMADAS_ULT_24H
BLM,Americas,5507,55710.673,0,0.0,0,5,50.582,0,0.0,0
NRU,Western Pacific,5393,49778.475,0,0.0,0,1,9.23,0,0.0,0
KIR,Western Pacific,5085,4257.047,0,0.0,0,24,20.092,0,0.0,0
AIA,Americas,3904,26023.197,0,0.0,0,12,79.989,0,0.0,0
WLF,Western Pacific,3550,31566.779,0,0.0,0,8,71.136,0,0.0,0
SPM,Americas,3426,59119.931,0,0.0,0,2,34.513,0,0.0,0
TUV,Western Pacific,2943,24957.598,0,0.0,0,1,8.48,0,0.0,0
Z99,Africa,2166,35677.813,0,0.0,0,0,0.0,0,0.0,0
FLK,Americas,1923,55211.025,0,0.0,0,0,0.0,0,0.0,0
MSR,Americas,1403,28065.613,0,0.0,0,8,160.032,0,0.0,0
Z99,Americas,1221,38897.738,0,0.0,0,6,191.144,0,0.0,0
NIU,Western Pacific,887,54820.766,19,1174.289,0,0,0.0,0,0.0,0
Z99,Americas,837,43300.569,0,0.0,0,2,103.466,0,0.0,0
TKL,Western Pacific,80,5925.926,0,0.0,0,0,0.0,0,0.0,0
VAT,Europe,26,3213.844,0,0.0,0,0,0.0,0,0.0,0
PCN,Western Pacific,4,8000.0,0,0.0,0,0,0.0,0,0.0,0
PRK,South-East Asia,0,0.0,0,0.0,0,0,0.0,0,0.0,0
TKM,Europe,0,0.0,0,0.0,0,0,0.0,0,0.0,0
