,Province_State,Confirmed,Deaths,Recovered,Active,ISO3,Date
9944,Michigan,645550,16508,541258.0,87784.0,USA,27.02.2021
9945,Minnesota,483790,6543,469959.0,7288.0,USA,27.02.2021
9946,Mississippi,294091,6669,273437.0,13985.0,USA,27.02.2021
9947,Missouri,562624,8282,,,USA,27.02.2021
9948,Montana,99837,1356,96724.0,1757.0,USA,27.02.2021
9949,Nebraska,200720,2082,154339.0,44299.0,USA,27.02.2021
9950,Nevada,293488,4957,,,USA,27.02.2021
9951,New Hampshire,75166,1170,71324.0,2672.0,USA,27.02.2021
9952,New Jersey,786967,23238,,,USA,27.02.2021
9953,New Mexico,184888,3700,141833.0,39355.0,USA,27.02.2021
9954,New York,1636040,47300,,,USA,27.02.2021
9955,North Carolina,858548,11212,,,USA,27.02.2021
9956,North Dakota,99586,1475,97678.0,627.0,USA,27.02.2021
9957,Northern Mariana Islands,143,2,29.0,112.0,MNP,27.02.2021
9958,Ohio,966154,18663,907410.0,40077.0,USA,27.02.2021
9959,Oklahoma,424843,4379,406494.0,13970.0,USA,27.02.2021
9960,Oregon,155315,2208,,,USA,27.02.2021
9961,Pennsylvania,937812,23922,836727.0,77163.0,USA,27.02.2021
9962,Puerto Rico,100044,2032,90738.0,7274.0,PRI,27.02.2021
9963,Rhode Island,125622,2502,,,USA,27.02.2021
9964,South Carolina,515072,8498,230793.0,275781.0,USA,27.02.2021
9965,South Dakota,112293,1886,108497.0,1910.0,USA,27.02.2021
9966,Tennessee,767819,11393,748739.0,8110.0,USA,27.02.2021
9967,Texas,2690215,43610,2417585.0,226415.0,USA,27.02.2021
9968,Utah,370770,1929,351396.0,17445.0,USA,27.02.2021
9969,Vermont,15098,204,12436.0,2458.0,USA,27.02.2021
9970,Virgin Islands,2646,25,2511.0,110.0,VIR,27.02.2021
9971,Virginia,574314,8382,,,USA,27.02.2021
9972,Washington,339773,4956,,,USA,27.02.2021
9973,West Virginia,131580,2297,121797.0,7486.0,USA,27.02.2021
9974,Wisconsin,616886,7014,548884.0,60988.0,USA,27.02.2021
9975,Wyoming,54350,671,52998.0,681.0,USA,27.02.2021
9976,Alabama,1279364,18225,,,USA,27.02.2022
9977,Alaska,238683,1163,,,USA,27.02.2022
9978,American Samoa,84,0,,,ASM,27.02.2022
9979,Arizona,1976890,27946,,,USA,27.02.2022
9980,Arkansas,819426,10497,,,USA,27.02.2022
9981,California,8974190,84990,,,USA,27.02.2022
9982,Colorado,1408953,12371,,,USA,27.02.2022
9983,Connecticut,722377,10465,,,USA,27.02.2022
9984,Delaware,256551,2709,,,USA,27.02.2022
9985,Diamond Princess,49,0,,,USA,27.02.2022
9986,District of Columbia,134326,1317,,,USA,27.02.2022
9987,Florida,5844229,69790,,,USA,27.02.2022
9988,Georgia,2462663,35316,,,USA,27.02.2022
9989,Grand Princess,103,3,,,USA,27.02.2022
9990,Guam,44344,322,,,GUM,27.02.2022
9991,Hawaii,235789,1330,,,USA,27.02.2022
9992,Idaho,423638,4730,,,USA,27.02.2022
9993,Illinois,3026740,36792,,,USA,27.02.2022
9994,Indiana,1680331,22800,,,USA,27.02.2022
9995,Iowa,748849,9085,,,USA,27.02.2022
9996,Kansas,765740,7934,,,USA,27.02.2022
9997,Kentucky,1274681,13758,,,USA,27.02.2022
9998,Louisiana,1225637,16606,,,USA,27.02.2022
9999,Maine,226143,2064,,,USA,27.02.2022
10000,Maryland,1001890,14119,,,USA,27.02.2022
10001,Massachusetts,1669594,19614,,,USA,27.02.2022
10002,Michigan,2357955,34477,,,USA,27.02.2022
10003,Minnesota,1412497,12261,,,USA,27.02.2022
10004,Mississippi,789056,12008,,,USA,27.02.2022
10005,Missouri,1400387,19048,,,USA,27.02.2022
10006,Montana,265797,3172,,,USA,27.02.2022
10007,Nebraska,453569,3956,,,USA,27.02.2022
10008,Nevada,681387,9663,,,USA,27.02.2022
10009,New Hampshire,297729,2373,,,USA,27.02.2022
10010,New Jersey,2166758,32894,,,USA,27.02.2022
10011,New Mexico,510783,6903,,,USA,27.02.2022
10012,New York,4924032,67344,,,USA,27.02.2022
10013,North Carolina,2583404,22500,,,USA,27.02.2022
10014,North Dakota,237763,2239,,,USA,27.02.2022
10015,Northern Mariana Islands,9595,30,,,MNP,27.02.2022
10016,Ohio,2653211,38000,,,USA,27.02.2022
10017,Oklahoma,1019489,14541,,,USA,27.02.2022
10018,Oregon,692261,6582,,,USA,27.02.2022
10019,Pennsylvania,2756546,43215,,,USA,27.02.2022
10020,Puerto Rico,473772,4109,,,PRI,27.02.2022
10021,Rhode Island,355509,3406,,,USA,27.02.2022
10022,South Carolina,1459070,16790,,,USA,27.02.2022
10023,South Dakota,235787,2802,,,USA,27.02.2022
10024,Tennessee,2003441,24434,,,USA,27.02.2022
10025,Texas,6587208,84739,,,USA,27.02.2022
10026,Utah,921956,4408,,,USA,27.02.2022
10027,Vermont,112023,595,,,USA,27.02.2022
10028,Virgin Islands,15395,109,,,VIR,27.02.2022
10029,Virginia,1636510,18536,,,USA,27.02.2022
10030,Washington,1417498,11831,,,USA,27.02.2022
10031,West Virginia,488359,6308,,,USA,27.02.2022
10032,Wisconsin,1570460,13256,,,USA,27.02.2022
10033,Wyoming,154909,1718,,,USA,27.02.2022
10034,Alabama,1638348,20932,,,USA,
10035,Alaska,306623,1486,,,USA,
10036,American Samoa,8320,34,,,ASM,
10037,Arizona,2434631,33042,,,USA,
10038,Arkansas,1004436,12975,,,USA,
10039,California,12086073,100726,,,USA,
10040,Colorado,1760491,14106,,,USA,
10041,Connecticut,974922,12145,,,USA,
10042,Delaware,330332,3309,,,USA,
10043,Diamond Princess,49,0,,,USA,
10044,District of Columbia,177504,1427,,,USA,
