PROVINCIA_ESTADO,CASOS_CONFIRMADOS,DEFUNCIONES,CASOS_RECUPERADOS,CASOS_ACTIVOS,PAIS_ISO3,FECHA
Puerto Rico,1054239,5541,,,PRI,
Rhode Island,443645,3770,,,USA,
South Carolina,1770059,18834,,,USA,
South Dakota,271856,3118,,,USA,
Tennessee,2441953,28593,,,USA,
Texas,8211575,91595,,,USA,
Utah,1074828,5187,,,USA,
Vermont,148393,791,,,USA,
Virgin Islands,23781,127,,,VIR,
Virginia,2199302,22670,,,USA,
Washington,1883676,15038,,,USA,
West Virginia,624721,7672,,,USA,
Wisconsin,1963076,15807,,,USA,
Wyoming,182847,1958,,,USA,
Alabama,371934,4873,202137.0,164924.0,USA,03.01.2021
Alaska,48118,215,7165.0,40738.0,USA,03.01.2021
American Samoa,0,0,,,ASM,03.01.2021
Arizona,556384,9061,78690.0,468633.0,USA,03.01.2021
Arkansas,233475,3749,203701.0,26025.0,USA,03.01.2021
California,2512665,26661,,,USA,03.01.2021
Colorado,366506,5464,18305.0,318011.0,USA,03.01.2021
Connecticut,190120,6099,9800.0,174221.0,USA,03.01.2021
Delaware,59484,1080,18851.0,39553.0,USA,03.01.2021
Diamond Princess,49,0,,,USA,03.01.2021
District of Columbia,29764,794,21072.0,7898.0,USA,03.01.2021
Florida,1365436,21987,,,USA,03.01.2021
Georgia,690900,10964,,,USA,03.01.2021
Grand Princess,103,3,,,USA,03.01.2021
Guam,7326,122,7047.0,157.0,GUM,03.01.2021
Hawaii,22560,289,11958.0,10313.0,USA,03.01.2021
Idaho,142507,1448,60164.0,80895.0,USA,03.01.2021
Illinois,979821,18322,,,USA,03.01.2021
Indiana,526071,9625,348425.0,168021.0,USA,03.01.2021
Iowa,284715,3946,244021.0,36748.0,USA,03.01.2021
Kansas,229983,2893,4612.0,222614.0,USA,03.01.2021
Kentucky,276825,2723,37375.0,236727.0,USA,03.01.2021
Louisiana,321058,7537,263712.0,49809.0,USA,03.01.2021
Maine,25592,359,11465.0,13768.0,USA,03.01.2021
Maryland,285319,5994,9378.0,269947.0,USA,03.01.2021
Massachusetts,387662,10683,261672.0,113380.0,USA,03.01.2021
Michigan,538121,13306,363611.0,161204.0,USA,03.01.2021
Minnesota,420544,5489,403419.0,11636.0,USA,03.01.2021
Mississippi,222061,4871,167263.0,49927.0,USA,03.01.2021
Missouri,451605,5770,,,USA,03.01.2021
Montana,82381,972,76501.0,4908.0,USA,03.01.2021
Nebraska,169000,1672,105963.0,61365.0,USA,03.01.2021
Nevada,231614,3180,,,USA,03.01.2021
New Hampshire,47376,780,39574.0,7022.0,USA,03.01.2021
New Jersey,545450,19208,56873.0,469369.0,USA,03.01.2021
New Mexico,146394,2551,68876.0,74967.0,USA,03.01.2021
New York,1023897,38239,104402.0,881256.0,USA,03.01.2021
North Carolina,564924,6910,403488.0,154526.0,USA,03.01.2021
North Dakota,92559,1317,89879.0,1845.0,USA,03.01.2021
Northern Mariana Islands,122,2,29.0,91.0,MNP,03.01.2021
Ohio,721481,14053,579583.0,127845.0,USA,03.01.2021
Oklahoma,304375,2547,265293.0,36535.0,USA,03.01.2021
Oregon,117745,1500,5870.0,110375.0,USA,03.01.2021
Pennsylvania,669818,16331,453531.0,199956.0,USA,03.01.2021
Puerto Rico,78169,1545,68661.0,7963.0,PRI,03.01.2021
Rhode Island,87949,1974,5381.0,80594.0,USA,03.01.2021
South Carolina,321669,5469,154943.0,161257.0,USA,03.01.2021
South Dakota,100532,1513,93031.0,5988.0,USA,03.01.2021
Tennessee,602854,7025,526966.0,69039.0,USA,03.01.2021
Texas,1843572,28600,1451846.0,360309.0,USA,03.01.2021
Utah,283473,1301,232355.0,49817.0,USA,03.01.2021
Vermont,7793,140,5272.0,2381.0,USA,03.01.2021
Virgin Islands,2042,23,1920.0,99.0,VIR,03.01.2021
Virginia,363765,5124,31368.0,327273.0,USA,03.01.2021
Washington,255396,3459,,,USA,03.01.2021
West Virginia,91058,1376,62264.0,27418.0,USA,03.01.2021
Wisconsin,526245,5261,454850.0,66134.0,USA,03.01.2021
Wyoming,44875,438,43068.0,1369.0,USA,03.01.2021
Alabama,913603,16455,,,USA,03.01.2022
Alaska,160089,979,,,USA,03.01.2022
American Samoa,10,0,,,ASM,03.01.2022
Arizona,1404601,24355,,,USA,03.01.2022
Arkansas,574572,9221,,,USA,03.01.2022
California,5707204,76469,,,USA,03.01.2022
Colorado,1038681,10921,,,USA,03.01.2022
Connecticut,533866,9210,,,USA,03.01.2022
Delaware,189382,2286,,,USA,03.01.2022
Diamond Princess,49,0,,,USA,03.01.2022
District of Columbia,103487,1218,,,USA,03.01.2022
Florida,4209927,62504,,,USA,03.01.2022
Georgia,1839879,31443,,,USA,03.01.2022
Grand Princess,103,3,,,USA,03.01.2022
Guam,19689,273,,,GUM,03.01.2022
Hawaii,121864,1094,,,USA,03.01.2022
Idaho,320802,4169,,,USA,03.01.2022
Illinois,2238762,31194,,,USA,03.01.2022
